         547901 function calls (544481 primitive calls) in 33.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 __init__.py:2390(_version_from_file)
        6    0.000    0.000    0.000    0.000 __init__.py:2395(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:2402(Distribution)
       12    0.000    0.000    0.002    0.000 __init__.py:2406(__init__)
       12    0.000    0.000    0.003    0.000 __init__.py:2418(from_location)
       10    0.000    0.000    0.000    0.000 __init__.py:2435(_reload_version)
       36    0.000    0.000    0.000    0.000 __init__.py:2477(key)
        1    0.000    0.000    0.000    0.000 __init__.py:254(get_supported_platform)
       14    0.000    0.000    0.001    0.000 __init__.py:2563(_get_metadata)
        6    0.000    0.000    0.001    0.000 __init__.py:2568(activate)
       22    0.000    0.000    0.000    0.000 __init__.py:2604(__getattr__)
        6    0.000    0.000    0.000    0.000 __init__.py:2649(insert_on)
        6    0.000    0.000    0.000    0.000 __init__.py:2675(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2759(EggInfoDistribution)
        2    0.000    0.000    0.001    0.000 __init__.py:2760(_reload_version)
        1    0.000    0.000    0.001    0.001 __init__.py:2778(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:2845(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:2869(Requirement)
       18    0.000    0.000    0.000    0.000 __init__.py:2922(_get_mro)
       18    0.002    0.000    0.002    0.000 __init__.py:2933(_find_adapter)
        2    0.000    0.000    0.137    0.069 __init__.py:3002(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3007(_initialize)
        1    0.000    0.000    0.137    0.137 __init__.py:3017(_initialize_master_working_set)
        1    0.000    0.000    0.000    0.000 __init__.py:325(ResolutionError)
        1    0.000    0.000    0.000    0.000 __init__.py:332(VersionConflict)
        6    0.000    0.000    0.047    0.008 __init__.py:35(load_module)
        4    0.000    0.000    0.004    0.001 __init__.py:357(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:364(ContextualVersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:377(DistributionNotFound)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(VendorImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:404(UnknownExtra)
        3    0.000    0.000    0.000    0.000 __init__.py:418(register_loader_type)
       21    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
       21    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        4    0.000    0.000    0.001    0.000 __init__.py:428(get_provider)
        1    0.000    0.000    0.000    0.000 __init__.py:461(get_build_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:578(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:601(IResourceProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:629(WorkingSet)
        1    0.000    0.000    0.068    0.068 __init__.py:632(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:64(install)
        1    0.000    0.000    0.068    0.068 __init__.py:645(_build_master)
